Country Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
528,Netherlands,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
276,Germany,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
32,Argentina,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14
56,Belgium,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
360,Indonesia,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
724,Spain,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
458,Malaysia,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
842,USA,11.32,11.36,11.04,10.74,10.34,10.68,10.07,9.86,10.36
616,Poland,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
381,Italy,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
124,Canada,6.15,4.9,2.58,6.6,3.6,7.07,5.04,4.92,4.96
251,France,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
40,Austria,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
100,Bulgaria,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
440,Lithuania,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
156,China,0,0,0,0,0,0,0,0,0
348,Hungary,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
410,Rep. of Korea,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33
428,Latvia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
203,Czechia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
579,Norway,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
826,United Kingdom,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
620,Portugal,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
208,Denmark,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
642,Romania,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
702,Singapore,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
70,Bosnia Herzegovina,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
76,Brazil,8.88,8.82,8.85,8.82,8.71,8.62,8.64,8.62,8.52
699,India,0.57,0.5,0.52,0.49,0.41,0.31,0.35,0.33,0.4
344,"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0
218,Ecuador,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
112,Belarus,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
752,Sweden,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
372,Ireland,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
300,Greece,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
392,Japan,0.28,0,0,0.25,0.15,0,0,0,0
36,Australia,4.38,4,4.96,4.96,3.54,3.43,4.07,3.6,3.6
764,Thailand,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
788,Tunisia,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
784,United Arab Emirates,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
191,Croatia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
608,Philippines,184.08,184.08,184.08,184.08,184.08,184.08,184.08,184.08,184.08
807,North Macedonia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
376,Israel,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
688,Serbia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
818,Egypt,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
398,Kazakhstan,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44
233,Estonia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
246,Finland,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
792,Turkey,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
586,Pakistan,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
705,Slovenia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
858,Uruguay,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
554,New Zealand,2.49,2.27,2.82,2.82,2.01,1.95,2.31,2.04,2.04
757,Switzerland,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
170,Colombia,13.14,13.14,13.14,13.14,13.14,13.14,11.01,10.55,10.55
499,Montenegro,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
710,South Africa,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
643,Russian Federation,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44
882,Samoa,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
504,Morocco,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
484,Mexico,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14
600,Paraguay,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
320,Guatemala,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14
748,Eswatini,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
204,Benin,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
414,Kuwait,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
188,Costa Rica,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14
48,Bahrain,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
442,Luxembourg,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
96,Brunei Darussalam,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
384,C̫te d'Ivoire,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
894,Zambia,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
516,Namibia,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12,14.12
152,Chile,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
591,Panama,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
634,Qatar,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
604,Peru,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85
50,Bangladesh,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
144,Sri Lanka,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
703,Slovakia,5.94,5.94,5.77,5.31,4.94,4.49,4.21,4.08,3.97
