CNTRY_CODE,CNTRY_NAME,MIN,MAX,MEAN,STD
12,Algeria,0.07666724,0.285666942,0.213868351,0.051742667
24,Angola,0.025004671,0.029732017,0.026686752,0.001195185
204,Benin,0.452892872,0.500331055,0.474620007,0.014257209
72,Botswana,0.128284266,0.26776582,0.209044855,0.031851669
854,Burkina Faso,0.416799941,0.444024299,0.43041212,0.013612179
108,Burundi,0.20418431,0.28033882,0.255919442,0.019917833
120,Cameroon,0.452625941,0.665592512,0.545947889,0.04294006
140,Central African Republic,0.496445513,0.551404288,0.52915535,0.012625729
148,Chad,0.040687766,0.388118438,0.268703391,0.118755182
818,Egypt,0.00458866,0.008088099,0.005883363,0.001320551
566,Nigeria,0.210106704,0.692889271,0.535805354,0.093616065
178,Republic of the Congo,0.512289299,0.528279063,0.521404856,0.004613171
180,Democratic Republic of Congo,0.437360731,0.646502102,0.580555724,0.034995631
384,Côte d'Ivoire,0.493114926,0.586320238,0.555081287,0.021037827
231,Ethiopia,0.340746875,0.504074504,0.441107826,0.039736173
266,Gabon,0.525889916,0.579620447,0.551990914,0.017473893
288,Ghana,0.406757955,0.573808484,0.480874227,0.035837085
324,Guinea,0.465363074,0.592474785,0.511040245,0.034200115
624,Guinea-Bissau,0.595747966,0.656011536,0.624231101,0.024712731
404,Kenya,0.144949386,0.270129403,0.204099624,0.038485244
426,Lesotho,0.21057765,0.219262736,0.216216966,0.00399187
430,Liberia,0.586170558,0.677758927,0.624045989,0.02406387
450,Madagascar,0.31901484,0.635397044,0.520167113,0.061808446
454,Malawi,0.406445,0.44966016,0.424104969,0.01622342
466,Mali,0.127997462,0.127997462,0.127997462,0
504,Morocco,0.068272362,0.292179926,0.192604466,0.048836509
508,Mozambique,0.292307339,0.469291072,0.434631764,0.037210821
516,Namibia,0.324517867,0.324517867,0.324517867,0
562,Niger,0.098894988,0.124836428,0.111865708,0.01297072
646,Rwanda,0.421316407,0.442219285,0.430740016,0.006610063
686,Senegal,0.151656358,0.486631886,0.400440382,0.092434863
694,Sierra Leone,0.552294917,0.688246295,0.636819067,0.037943043
706,Somalia,0.080451717,0.284005329,0.230122946,0.0626052
729,Sudan,0.05328315,0.214978288,0.145521155,0.04301856
834,Tanzania,0.390376106,0.500620253,0.456870959,0.026412264
710,South Africa,0.065691006,0.417166147,0.247595362,0.074892174
748,Swaziland,0.27272392,0.397390253,0.32221137,0.04568258
270,Gambia,0.300906565,0.313821606,0.307364086,0.006457521
768,Togo,0.46654412,0.510071241,0.495670012,0.01499125
788,Tunisia,0.06866315,0.242626664,0.129511233,0.046905813
800,Uganda,0.201786153,0.344409387,0.267683109,0.021969214
894,Zambia,0.40164033,0.441710128,0.420592258,0.009860644
716,Zimbabwe,0.177227087,0.401021465,0.285450033,0.040600777
620,Portugal,0.325993283,0.41181813,0.364462985,0.024491425
4,Afghanistan,0.250097598,2.840937505,1.123858281,1.214221966
50,Bangladesh,0.426329519,0.572072031,0.505242144,0.044853192
64,Bhutan,0.210342561,0.639381544,0.42293479,0.112724926
104,Myanmar,0.242838448,0.788860235,0.56248686,0.091941771
116,Cambodia,0.505402747,0.786003484,0.635141442,0.0542845
156,China,0.077551889,8.78060658,1.594616753,2.049731753
699,India,0.165844562,0.785223647,0.542535046,0.16211171
392,Japan,0.425866477,9.369155901,6.817000756,1.500174822
398,Kazakhstan,2.181101943,3.622867285,3.100545736,0.406237074
417,Kyrgyzstan,2.247604565,4.558978486,3.458495964,0.623853099
418,Laos,0.477769772,0.653568596,0.56762877,0.051702587
496,Mongolia,1.622351719,3.325859541,2.303606963,0.435714258
524,Nepal,0.149751211,0.522740986,0.328128806,0.106175704
408,Democratic People's Republic of Korea,3.793730322,6.768621018,5.2865069,0.80760618
586,Pakistan,0.081551001,0.42693235,0.248594646,0.083705542
643,Russian Federation,1.185339895,7.647277068,3.220991483,0.753965655
410,Republic of Korea,6.500288636,7.851764944,7.047326236,0.350582732
144,Sri Lanka,0.519227928,0.76680874,0.645792654,0.061186108
762,Tajikistan,0.246090017,3.826394746,3.106968384,0.94570726
764,Thailand,0.501581024,0.779058848,0.638009802,0.073877565
795,Turkmenistan,2.109345972,2.472648755,2.263169196,0.153450206
860,Uzbekistan,3.245541719,3.330618594,3.278932653,0.037063451
704,Vietnam,0.447467485,0.713398797,0.600623157,0.059875449
8,Albania,0.28659018,6.343699864,2.104090115,2.692864854
51,Armenia,1.701707144,1.701707144,1.701707144,0
40,Austria,1.892889468,6.336500759,4.061247992,1.530839493
31,Azerbaijan,2.598886323,5.032396738,3.820276678,0.993498092
112,Belarus,3.943004727,4.504395537,4.257939273,0.202971688
56,Belgium,1.369523294,3.212861035,1.706443222,0.617328222
70,Bosnia Herzegovina,0.381976808,6.507844006,5.395525147,1.991624874
100,Bulgaria,1.123898938,5.272249961,4.789167062,0.794549436
191,Croatia,0.396095524,7.425490253,6.166306993,1.360940212
196,Cyprus,0.175831694,0.207019901,0.189644395,0.012979374
203,Czechia,3.245894736,3.823999502,3.530328829,0.196957857
208,Denmark,2.515870644,5.431493408,3.896605665,1.054097487
233,Estonia,3.598349727,3.966986797,3.81164128,0.105676062
246,Finland,2.679476948,4.136287451,3.410783888,0.364318804
251,France,0.275316042,6.276409006,3.229659566,2.646101007
268,Georgia,0.459076461,4.727258027,3.372672706,1.163870854
276,Germany,1.532595283,6.109994278,3.912360089,1.200351229
300,Greece,0.291214999,0.359068853,0.328677454,0.028148845
348,Hungary,3.834261221,5.16745794,4.55882873,0.330904685
364,Iran,0.054994784,3.589556084,1.227419573,1.36099325
368,Iraq,0.060958652,3.700535127,0.340189981,0.816868376
372,Ireland,0.294547506,6.72509037,2.819963317,2.777300726
376,Israel,0.233807458,0.233807458,0.233807458,0
381,Italy,0.248481535,7.292516444,4.395416509,2.30280419
400,Jordan,0.176950343,0.176950343,0.176950343,0
428,Latvia,3.599199209,4.26217959,4.008047244,0.19819646
422,Lebanon,0.248837308,0.300099764,0.274875025,0.020532902
440,Lithuania,3.72996169,5.086689902,4.31876992,0.374821826
442,Luxembourg,4.599739551,4.599739551,4.599739551,0
807,Macedonia,5.339104698,5.39565833,5.367381514,0.028276816
499,Montenegro,0.440121097,5.463720264,4.349141025,1.758288868
528,Netherlands,1.547022393,3.565465254,2.742658457,0.432366848
579,Norway,2.928276836,6.276940877,4.418202761,0.847828886
616,Poland,2.572860401,5.543932217,4.236989588,0.494238901
642,Romania,1.709294673,5.639723916,4.724348555,0.966703245
703,Slovakia,0.979860539,4.596685967,2.757806996,1.419336989
705,Slovenia,5.120760977,6.424729864,6.082561566,0.40190069
724,Spain,0.25577343,0.417530321,0.32539809,0.046531918
752,Sweden,2.606074043,4.541291114,3.482266999,0.424059992
757,Switzerland,1.375660091,3.743393701,2.50564137,0.799663984
760,Syria,0.087454589,0.294635444,0.211674684,0.065059546
792,Turkey,0.134834208,6.618899648,2.374548442,1.924831943
804,Ukraine,1.447270356,5.485867148,4.560193407,1.501992812
826,United Kingdom,0.300908484,7.314694765,5.401921983,1.546341623
887,Yemen,0.224274899,0.439991245,0.344027644,0.074914259
84,Belize,0.545135968,0.545135968,0.545135968,0
124,Canada,1.529697793,7.194016951,3.846419686,0.951272285
170,Colombia,0.377738677,0.74791155,0.681720006,0.072814062
188,Costa Rica,0.613760444,0.824734336,0.725156154,0.063431658
192,Cuba,0.460108053,0.477854774,0.467027592,0.007754086
214,Dominican Republic,0.357801517,0.540624561,0.483075429,0.063254565
222,El Salvador,0.451777181,0.567994172,0.489923478,0.034649059
320,Guatemala,0.395170027,0.736153256,0.592717557,0.095091484
332,Haiti,0.269826971,0.434040306,0.328315372,0.05791224
340,Honduras,0.415132051,0.700109601,0.584609605,0.069090876
388,Jamaica,0.534270967,0.616298819,0.577799105,0.029232952
484,Mexico,0.299366268,0.72968074,0.566186273,0.081966733
558,Nicaragua,0.460191384,0.791113115,0.630817548,0.104796314
591,Panama,0.587734747,0.708306194,0.6592494,0.031200466
44,Bahamas,0.454790793,0.484404388,0.464693217,0.013937956
842,United States,0.180878025,8.454124944,4.449453792,2.481453193
36,Australia,0.254386675,0.591709763,0.386295722,0.100691132
96,Brunei,0.710747326,0.728090174,0.71941875,0.008671423
360,Indonesia,0.475619824,0.780099292,0.680275409,0.058353515
458,Malaysia,0.622039646,0.762226467,0.703225832,0.033474486
554,New Zealand,0.295954992,4.961328555,0.662042925,1.032854172
598,Papua New Guinea,0.56414106,0.759142622,0.672128408,0.049507114
608,Philippines,0.577076877,0.762206775,0.667871913,0.044330805
90,Solomon Islands,0.669946335,0.746429427,0.713452048,0.026643469
626,Timor-Leste,0.468931189,0.472423109,0.470677149,0.00174596
548,Vanuatu,0.588696241,0.588696241,0.588696241,0
32,Argentina,0.242017533,3.731754599,0.648651989,0.786701739
68,Bolivia,0.291660427,0.478945759,0.430781916,0.034423318
76,Brazil,0.07071787,0.772694143,0.623529393,0.084027499
152,Chile,0.258494999,5.589080166,1.906188913,2.122437799
218,Ecuador,0.350094004,0.760087044,0.586246762,0.133674061
254,French Guiana,0.716629568,0.785377483,0.759933419,0.030776592
328,Guyana,0.535687825,0.713090946,0.649571214,0.032013111
740,Suriname,0.577195619,0.66690454,0.635512953,0.01994061
600,Paraguay,0.434685006,0.544122759,0.521927304,0.020115444
604,Peru,0.501588341,0.728054673,0.688869837,0.043611012
780,Trinidad and Tobago,0.581447728,0.59291145,0.587179589,0.005731861
858,Uruguay,0.406970145,0.46671977,0.43491802,0.017099712
862,Venezuela,0.318017529,0.752312301,0.623270509,0.068135836
20,Andorra,0.290938968,0.290938968,0.290938968,0
48,Bahrain,0.113409445,2.576694152,0.637212399,0.750925295
132,Cabo Verde,0.226281462,0.400226746,0.353902234,0.049446192
212,Dominica,0.706515408,0.710709432,0.70861242,0.002965623
242,Fiji,0.473027477,0.609437834,0.568597572,0.044142766
275,State of Palestine,0.13844882,0.1396153,0.138880388,0.000440184
344,Hong Kong,0.601586984,0.613623001,0.608472336,0.005014711
352,Iceland,1.586294371,6.928550864,4.55551481,1.115147598
414,Kuwait,0.057976718,3.645045606,0.783804777,1.088930813
470,Malta,0.158572343,3.767571554,2.262463871,1.174855002
480,Mauritius,0.31901484,0.635397044,0.520167113,0.061808446
498,Moldova,1.578282515,5.562795532,4.642270981,1.234348029
512,Oman,0.139634842,2.014773665,0.785723609,0.717953755
533,Aruba,0.347878103,0.750111926,0.652495258,0.070474949
540,New Caledonia,0.588696241,0.588696241,0.588696241,0
585,Palau,0.526348351,0.771153034,0.674073661,0.05134216
634,Qatar,0.139634842,2.014773665,0.785723609,0.717953755
659,Saint Kitts and Nevis,0.530026533,0.710709432,0.593201062,0.089485882
662,Saint Lucia,0.706515408,0.710709432,0.70861242,0.002965623
670,Saint Vincent and the Grenadines,0.706515408,0.710709432,0.70861242,0.002965623
682,Saudi Arabia,0.139634842,2.014773665,0.785723609,0.717953755
688,Serbia,2.138109573,5.574442403,4.864065339,0.978391321
702,Singapore,0.69655788,0.69655788,0.69655788,0
736,Former Sudan,0.05328315,0.214978288,0.145521155,0.04301856
784,United Arab Emirates,0.139634842,2.014773665,0.785723609,0.717953755
882,Samoa,0.473027477,0.609437834,0.568597572,0.044142766
