Region,Daviescode,sea.cooled,coal.ot,coal.tower,coal.dc,coal.pond,fossil.ot,fossil.tower,fossil.dc,fossil.pond,ngcc.ot,ngcc.tower,ngcc.dc,ngcc.pond,nuc.ot,nuc.tower,nuc.pond
USA,1,0.3,0.2737,0.336,0.014,0.0763,0.4144,0.1666,0,0.119,0.0812,0.5369,0.07,0.0119,0.2667,0.3052,0.1281
Canada,2,0.1,0.639,0.261,0,0,0.639,0.261,0,0,0.639,0.261,0,0,0.639,0.261,0
Western Europe,3,0.2,0.2216,0.5568,0.024,0,0.2216,0.5568,0.0216,0,0.2216,0.5568,0.0216,0,0.2216,0.5784,0
Japan,4,0.97,0.027,0.00195,0.00105,0,0.027,0.00195,0.00105,0,0.027,0.00195,0.00105,0,0.03,0,0
Australia & NZ,5,0.66,0.12512,0.19142,0.02346,0,0.34,0,0,0,0.16966,0.17034,0,0,0,0.34,0
Former Soviet Union,6,0.1,0.3366,0.5634,0,0,0.3366,0.5634,0,0,0.3366,0.5634,0,0,0.3366,0.5634,0
China,7,0.13,0.174,0.56463,0.07047,0.0609,0.174,0.56463,0.07047,0.0609,0.174,0.56463,0.07047,0.0609,0.174,0.6351,0.0609
Middle East,8,0.96,0.024,0.01528,0.00072,0,0.024,0.01528,0.00072,0,0.024,0.01528,0.00072,0,0.024,0.016,0
Africa,9,0.3,0.084,0.532,0.084,0,0.084,0.532,0.084,0,0.084,0.532,0.084,0,0.168,0.532,0
Latin America,10,0.3,0.126,0.5453,0.0287,0,0.126,0.5453,0.0287,0,0.126,0.5453,0.0287,0,0.126,0.574,0
Southeast Asia,11,0.87,0.0975,0.02795,0.00455,0,0.065,0.06045,0.00455,0,0.065,0.06045,0.00455,0,0.1235,0.0065,0
Eastern Europe,12,0.1,0.3105,0.5895,0,0,0.3105,0.5895,0,0,0.3105,0.5895,0,0,0.3105,0.5895,0
Korea,13,0.97,0.006,0.02295,0.00105,0,0.006,0.02295,0.00105,0,0.006,0.02295,0.00105,0,0.03,0,0
India,14,0.3,0.329,0.3465,0.0245,0,0.329,0.3465,0.0245,0,0.329,0.3465,0.0245,0,0.329,0.371,0